id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
addo_m_515059_1,1,18,0.398496,3.019724,1.000000,1.341907,0.024808,6.428571,22.571429,0
addo_m_515059_1,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
addo_m_515059_1,3,19,0.679339,4.346249,1.000000,1.711881,0.036867,11.857143,30.428571,1
adojaan_m_11078479_4,0,39,0.855665,10.066220,1.000000,1.843692,0.041392,38.000000,83.333333,0
adojaan_m_11078479_4,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adojaan_m_11078479_4,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adra_c_2426574_2,0,5,0.666667,2.485340,1.000000,2.000000,0.033333,4.000000,10.000000,0
adra_c_2426574_2,1,5,0.497778,2.076707,1.000000,1.707127,0.045459,4.000000,14.200000,0
adra_c_2426574_2,2,4,0.425000,1.707570,1.000000,1.754545,0.047909,3.000000,11.500000,0
adra_c_2426574_2,3,21,0.744403,4.536684,1.000000,1.779287,0.032101,12.142857,28.857143,0
adra_c_2426574_2,4,20,0.424386,3.780193,1.000000,1.309440,0.020609,11.294118,40.411765,0
adra_c_2426574_2,5,9,0.692715,3.391541,1.000000,1.818969,0.043636,8.000000,20.888889,0
adra_c_2426574_2,6,15,0.608387,4.497146,1.000000,1.695733,0.046794,14.000000,40.933333,0
adra_c_2426574_2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adra_c_2426574_2,8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
adra_c_2426574_2,9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
adrian_t_1278750_1,0,15,0.278529,2.451549,1.000000,1.158990,0.020541,4.666667,21.333333,0
adrian_t_1278750_1,1,2,0.333333,1.442695,1.000000,2.000000,0.062745,1.000000,4.000000,0
adrian_t_1278750_1,2,3,0.277778,1.162869,1.000000,1.660606,0.040904,2.000000,11.333333,0
